1	For Those About To Rock We Salute You	Rock	1981	5
2	Let There Be Rock	Rock	1977	2
3	Balls to the Wall	Rock	1984	20
4	Restless and Wild	Rock	1982	19
5	Big Ones	Rock	1994	8
6	Jagged Little Pill	Rock	1995	8
7	Facelift	Rock	2011	19
8	Back to Black	R&B/Soul	2006	5
9	Warner 25 Anos	Jazz	1968	18
10	Plays Metallica By Four Cellos	Metal	1995	13
11	Audioslave	Rock	2007	11
12	Out Of Exile	Alternative & Punk	2005	6
13	Alcohol Fueled Brewtality Live! [Disc 1]	Metal	2000	14
14	Alcohol Fueled Brewtality Live! [Disc 2]	Metal	2000	13
15	Black Sabbath	Metal	1968	7
16	Minha Historia	Latin	2008	18
17	Afrociberdelia	Latin	1994	19
18	Cidade Negra - Hits	Reggae	1986	15
19	Na Pista	Latin	2014	14
20	Deep Purple In Rock	Rock	1969	3
21	MK III The Final Concerts [Disc 1]	Rock	1975	4
22	Purpendicular	Rock	1995	10
23	Slaves And Masters	Rock	1990	19
24	Stormbringer	Rock	1961	14
25	The Battle Rages On	Rock	1992	14
26	The Final Concerts (Disc 2)	Rock	2006	13
27	Vault: Def Leppard's Greatest Hits	Rock	1995	18
28	The Best of Ed Motta	Latin	1980	8
29	The Cream Of Clapton	Blues	1987	1
30	In Your Honor [Disc 1]	Rock	2005	13
31	In Your Honor [Disc 2]	Rock	2005	8
32	The Colour And The Shape	Rock	1996	18
33	Bongo Fury	Rock	1975	16
34	As Canções de Eu Tu Eles	Soundtrack	2000	17
35	Quanta Gente Veio Ver (Live)	Latin	1998	19
36	American Idiot	Alternative & Punk	2004	9
37	International Superhits	Alternative & Punk	2001	14
38	House of Pain	Hip Hop/Rap	2011	1
39	Blue Moods	Jazz	1955	4
40	Live After Death	Metal	1985	10
41	Live After Death	Heavy Metal	1985	1
42	Live At Donington 1992 (Disc 1)	Rock	1992	6
43	Piece Of Mind	Metal	1983	1
44	Powerslave	Metal	1984	13
45	Rock In Rio [CD1]	Metal	1983	14
46	Rock In Rio [CD2]	Rock	1983	7
47	Rock In Rio [CD2]	Metal	1983	17
48	Seventh Son of a Seventh Son	Metal	1988	15
49	The X Factor	Rock	2005	8
50	Get Born	Alternative & Punk	2003	2
51	Emergency On Planet Earth	Rock	1993	4
52	Synkronized	R&B/Soul	1999	3
53	The Return Of The Space Cowboy	Electronica/Dance	1994	15
54	Are You Experienced?	Rock	1966	6
55	Living After Midnight	Metal	1980	5
56	Greatest Kiss	Rock	1997	8
57	Unplugged [Live]	Rock	1994	10
58	BBC Sessions [Disc 1] [Live]	Rock	1969	15
59	BBC Sessions [Disc 2] [Live]	Rock	1969	9
60	Houses Of The Holy	Rock	1973	3
61	In Through The Out Door	Rock	1978	16
62	Led Zeppelin I	Rock	1969	12
63	Led Zeppelin II	Rock	1969	12
64	Led Zeppelin III	Rock	1970	3
65	Physical Graffiti [Disc 1]	Rock	1975	6
66	Physical Graffiti [Disc 2]	Rock	1975	9
67	Mais Do Mesmo	Latin	1998	2
68	Misplaced Childhood	Rock	1985	9
69	The Best Of Men At Work	Rock	1981	11
70	Garage Inc. (Disc 1)	Metal	1998	13
71	Garage Inc. (Disc 2)	Metal	1998	7
72	Kill 'Em All	Metal	1988	6
73	Master Of Puppets	Metal	1986	12
74	Ride The Lightning	Metal	2012	19
75	Miles Ahead	Jazz	1957	6
76	Motley Crue Greatest Hits	Metal	1998	14
77	From The Muddy Banks Of The Wishkah [Live]	Rock	1996	12
78	Nevermind	Rock	1991	16
79	Olodum	Latin	1979	19
80	Minha História	Alternative & Punk	2008	5
81	Arquivo Os Paralamas Do Sucesso	Latin	1982	6
82	Bark at the Moon (Remastered)	Rock	1995	9
83	Blizzard of Ozz	Rock	1980	2
84	Walking Into Clarksdale	Rock	2007	14
85	Live On Two Legs [Live]	Rock	1998	7
86	Koyaanisqatsi (Soundtrack from the Motion Picture)	Soundtrack	2009	4
87	The Best Of R.E.M.: The IRS Years	Alternative & Punk	1982	8
88	Blood Sugar Sex Magik	Alternative & Punk	1992	4
89	By The Way	Rock	2002	18
90	Retrospective I (1974-1980)	Rock	1974	10
91	Santana - As Years Go By	Rock	1966	5
92	Santana Live	Rock	1967	7
93	Rotten Apples: Greatest Hits	Alternative & Punk	2001	13
94	Heart of the Night	Jazz	1996	17
95	Morning Dance	Jazz	1979	5
96	Temple of the Dog	Alternative	1991	19
97	South American Getaway	Classical	1972	13
98	Live [Disc 1]	Blues	1987	8
99	Live [Disc 2]	Blues	2001	3
100	The Doors	Rock	1965	7
101	No Security	Rock	1998	16
102	Achtung Baby	Rock	1991	14
103	All That You Can't Leave Behind	Rock	2000	11
104	How To Dismantle An Atomic Bomb	Rock	2004	12
105	Zooropa	Rock	1993	13
106	UB40 The Best Of - Volume Two [UK]	Reggae	1978	20
107	Van Halen	Rock	1974	1
108	Van Halen III	Rock	1998	3
